Acronimo,Nome,Combinacao
ITUB,Itau,ITUB-Itau
VALE,Vale SA,VALE-Vale SA
GGB,Gerdau,GGB-Gerdau
^BVSP,Ibovespa,^BVSP-Ibovespa
TASA4.SA,Taurus armas,TASA4.SA-Taurus armas
PBR,Petrobras,PBR-Petrobras
MGLU3.SA,Magazine Luiza,MGLU3.SA-Magazine Luiza
MLAS3.SA,Multilaser,MLAS3.SA-Multilaser
POSI3.SA,Positivo,POSI3.SA-Positivo
MXRF11.SA,MXRF11,MXRF11.SA-MXRF11
GALG11.SA,GALG11,GALG11.SA-GALG11
RBRL11.SA,RBRL11,RBRL11.SA-RBRL11
SARE11.SA,SARE11,SARE11.SA-SARE11
DEVA11.SA,DEVA11,DEVA11.SA-DEVA11
HCTR11.SA,HCTR11,HCTR11.SA-HCTR11
BTCR11.SA,BTCR11,BTCR11.SA-BTCR11
VGIR11.SA,VGIR11,VGIR11.SA-VGIR11
VGIR11.SA,VGIR11,VGIR11.SA-VGIR11
VGHF11.SA,VGHF11,VGHF11.SA-VGHF11
MCHF11.SA,MCHF11,MCHF11.SA-MCHF11
ARRI11.SA,ARRI11,ARRI11.SA-ARRI11
CPTS11.SA,CPTS11,CPTS11.SA-CPTS11
XPSF11.SA,XPSF11,XPSF11.SA-XPSF11
